iter	Passed	Remaining
407	5665	8221
408	5679	8207
409	5693	8193
410	5707	8180
411	5721	8165
412	5734	8150
413	5747	8135
414	5761	8121
415	5775	8107
416	5788	8092
417	5802	8078
418	5816	8065
419	5830	8051
420	5844	8037
421	5858	8024
422	5871	8009
423	5885	7995
424	5900	7982
425	5914	7969
426	5927	7954
427	5940	7939
428	5954	7925
429	5968	7911
430	5982	7897
431	5996	7884
432	6010	7870
433	6023	7856
434	6037	7842
435	6052	7829
436	6066	7815
437	6080	7801
438	6094	7788
439	6107	7773
440	6121	7758
441	6134	7744
442	6147	7729
443	6161	7715
444	6176	7702
445	6189	7688
446	6203	7674
447	6217	7660
448	6230	7646
449	6244	7632
450	6258	7618
451	6271	7603
452	6285	7589
453	6301	7578
454	6315	7564
455	6329	7551
456	6343	7537
457	6358	7524
458	6371	7510
459	6385	7496
460	6399	7482
461	6413	7468
462	6426	7453
463	6440	7440
464	6454	7425
465	6467	7411
466	6481	7397
467	6495	7383
468	6509	7369
469	6523	7356
470	6538	7343
471	6551	7329
472	6565	7314
473	6579	7301
474	6593	7287
475	6607	7273
476	6621	7259
477	6634	7245
478	6648	7231
479	6662	7217
480	6677	7204
481	6691	7191
482	6706	7178
483	6720	7164
484	6733	7149
485	6747	7136
486	6761	7122
487	6775	7108
488	6789	7094
489	6803	7080
490	6816	7066
491	6830	7052
492	6844	7039
493	6859	7026
494	6873	7012
495	6886	6998
496	6900	6984
497	6914	6970
498	6928	6956
499	6942	6942
500	6956	6928
501	6970	6915
502	6985	6902
503	6999	6888
504	7013	6874
505	7026	6859
506	7040	6846
507	7054	6832
508	7068	6818
509	7082	6804
510	7096	6791
511	7110	6777
512	7124	6762
513	7137	6748
514	7151	6734
515	7165	6721
516	7180	6708
517	7193	6693
518	7207	6679
519	7221	6665
520	7235	6652
521	7250	6639
522	7264	6625
523	7277	6611
524	7291	6596
525	7305	6582
526	7318	6568
527	7333	6555
528	7347	6542
529	7361	6528
530	7375	6514
531	7388	6499
532	7402	6485
533	7416	6472
534	7430	6458
535	7444	6444
536	7459	6431
537	7473	6417
538	7486	6403
539	7501	6390
540	7515	6376
541	7529	6362
542	7542	6348
543	7555	6333
544	7568	6319
545	7583	6305
546	7596	6291
547	7610	6277
548	7624	6263
549	7638	6249
550	7652	6235
551	7666	6221
552	7680	6208
553	7694	6194
554	7708	6180
555	7722	6166
556	7736	6152
557	7749	6138
558	7763	6124
559	7777	6111
560	7791	6097
561	7805	6083
562	7819	6069
563	7833	6055
564	7846	6041
565	7860	6027
566	7875	6014
567	7890	6001
568	7904	5987
569	7919	5974
570	7932	5959
571	7945	5945
572	7959	5931
573	7973	5917
574	7987	5903
575	8000	5889
576	8013	5874
577	8027	5860
578	8041	5847
579	8055	5832
580	8069	5819
581	8083	5805
582	8098	5792
583	8112	5778
584	8125	5764
585	8140	5750
586	8154	5737
587	8167	5722
588	8181	5708
589	8195	5695
590	8209	5681
591	8222	5667
592	8236	5653
593	8250	5639
594	8263	5624
595	8279	5612
596	8294	5598
597	8308	5585
598	8321	5571
599	8335	5557
600	8349	5543
601	8363	5529
602	8378	5515
603	8391	5501
604	8405	5488
605	8420	5474
606	8435	5461
607	8449	5447
608	8462	5433
609	8476	5419
610	8489	5404
611	8504	5391
612	8518	5377
613	8532	5364
614	8546	5350
615	8560	5336
616	8573	5322
617	8587	5308
618	8602	5294
619	8617	5281
620	8631	5267
621	8645	5253
622	8659	5240
623	8673	5226
624	8687	5212
625	8701	5198
626	8716	5185
627	8732	5172
628	8749	5160
629	8764	5147
630	8779	5134
631	8795	5121
632	8811	5108
633	8827	5095
634	8842	5082
635	8856	5068
636	8870	5054
637	8885	5041
638	8898	5027
639	8912	5013
640	8926	4999
641	8940	4985
642	8953	4971
643	8968	4957
644	8984	4944
645	8999	4931
646	9013	4917
647	9027	4903
648	9045	4892
649	9062	4879
650	9078	4866
651	9093	4853
652	9107	4839
653	9120	4825
654	9134	4811
655	9148	4797
656	9161	4783
657	9175	4768
658	9189	4754
659	9202	4740
660	9216	4726
661	9229	4712
662	9243	4698
663	9257	4684
664	9271	4670
665	9285	4656
666	9299	4643
667	9313	4629
668	9327	4614
669	9340	4600
670	9354	4586
671	9368	4572
672	9381	4558
673	9395	4544
674	9409	4530
675	9422	4516
676	9436	4502
677	9450	4488
678	9464	4474
679	9477	4460
680	9492	4446
681	9506	4432
682	9520	4418
683	9534	4404
684	9548	4390
685	9561	4376
686	9574	4362
687	9588	4348
688	9602	4334
689	9616	4320
690	9630	4306
691	9644	4292
692	9658	4278
693	9671	4264
694	9685	4250
695	9698	4236
696	9712	4222
697	9725	4208
698	9739	4194
699	9754	4180
700	9767	4166
701	9782	4152
702	9796	4138
703	9810	4124
704	9824	4110
705	9837	4096
706	9850	4082
707	9864	4068
708	9878	4054
709	9894	4041
710	9907	4027
711	9921	4013
712	9934	3999
713	9948	3984
714	9962	3970
715	9975	3956
716	9990	3943
717	10004	3929
718	10018	3915
719	10031	3901
720	10045	3887
721	10058	3873
722	10072	3859
723	10088	3845
724	10104	3832
725	10117	3818
726	10130	3804
727	10144	3790
728	10157	3776
729	10172	3762
730	10185	3748
731	10200	3734
732	10214	3720
733	10228	3706
734	10242	3693
735	10256	3679
736	10271	3665
737	10285	3651
738	10300	3637
739	10313	3623
740	10326	3609
741	10340	3595
742	10354	3581
743	10367	3567
744	10381	3553
745	10395	3539
746	10410	3525
747	10423	3511
748	10437	3497
749	10451	3483
750	10465	3469
751	10478	3455
752	10492	3441
753	10506	3427
754	10520	3413
755	10533	3399
756	10547	3385
757	10561	3371
758	10574	3357
759	10588	3343
760	10602	3329
761	10617	3316
762	10630	3302
763	10644	3288
764	10658	3274
765	10672	3260
766	10686	3246
767	10700	3232
768	10713	3218
769	10728	3204
770	10742	3190
771	10756	3176
772	10769	3162
773	10783	3148
774	10797	3134
775	10811	3120
776	10826	3107
777	10840	3093
778	10853	3079
779	10867	3065
780	10880	3051
781	10895	3037
782	10909	3023
783	10924	3009
784	10939	2996
785	10958	2983
786	10973	2969
787	10987	2955
788	11000	2941
789	11014	2927
790	11028	2913
791	11042	2899
792	11055	2885
793	11070	2872
794	11083	2858
795	11097	2844
796	11111	2830
797	11125	2816
798	11140	2802
799	11154	2788
800	11168	2774
801	11182	2760
802	11196	2746
803	11209	2732
804	11223	2718
805	11238	2705
806	11252	2691
807	11265	2677
808	11279	2663
809	11292	2648
810	11306	2634
811	11319	2620
812	11333	2606
813	11347	2592
814	11362	2579
815	11376	2565
816	11391	2551
817	11405	2537
818	11419	2523
819	11434	2509
820	11448	2496
821	11461	2481
822	11475	2467
823	11488	2453
824	11502	2439
825	11516	2426
826	11530	2412
827	11544	2398
828	11558	2384
829	11571	2370
830	11586	2356
831	11601	2342
832	11616	2328
833	11630	2314
834	11644	2300
835	11657	2286
836	11671	2272
837	11685	2258
838	11698	2244
839	11712	2230
840	11725	2216
841	11739	2202
842	11752	2188
843	11766	2174
844	11780	2160
845	11794	2146
846	11808	2133
847	11823	2119
848	11837	2105
849	11850	2091
850	11864	2077
851	11878	2063
852	11891	2049
853	11906	2035
854	11920	2021
855	11933	2007
856	11948	1993
857	11962	1979
858	11975	1965
859	11990	1951
860	12004	1937
861	12018	1923
862	12031	1909
863	12045	1896
864	12059	1882
865	12074	1868
866	12087	1854
867	12101	1840
868	12115	1826
869	12128	1812
