iter	Logloss
197	0.5833501074
198	0.5831319793
199	0.582771328
200	0.5825051003
201	0.5822207541
202	0.5819025128
203	0.5816252764
204	0.5814554729
205	0.5811970903
206	0.5808921388
207	0.5806219355
208	0.5803314256
209	0.5801456151
210	0.5798187036
211	0.5795182687
212	0.579186041
213	0.5787912004
214	0.5784694424
215	0.5781124941
216	0.5778683951
217	0.5775744892
218	0.5772315723
219	0.5769329453
220	0.5766729787
221	0.5763518952
222	0.5760598231
223	0.5758502477
224	0.575569175
225	0.5752625864
226	0.5750025443
227	0.574579271
228	0.5743248743
229	0.5740259482
230	0.573718464
231	0.5732965063
232	0.5730682879
233	0.5727419493
234	0.572506413
235	0.5723137148
236	0.5721187492
237	0.5718600599
238	0.571591401
239	0.5713886317
240	0.5709501169
241	0.5705869018
242	0.5703690728
243	0.5702061384
244	0.5699076925
245	0.5696545946
246	0.5693470716
247	0.5690467361
248	0.5687179684
249	0.5683769796
250	0.5681188084
251	0.5679338731
252	0.5677416476
253	0.567356502
254	0.5670999376
255	0.5668883046
256	0.5665327183
257	0.566276597
258	0.5659844605
259	0.5656413017
260	0.5652990607
261	0.5649629685
262	0.564734017
263	0.5643161801
264	0.5640865879
265	0.5638199295
266	0.5635850613
267	0.5633058427
268	0.5629830483
269	0.5625813748
270	0.5623706568
271	0.5620388173
272	0.5617651942
273	0.5615566169
274	0.5612564305
275	0.5609304784
276	0.5607328198
277	0.5604365866
278	0.5601726457
279	0.5599720409
280	0.5596283867
281	0.5594349294
282	0.5591078795
283	0.5587856529
284	0.5584799084
285	0.5582430628
286	0.5578681871
287	0.5575847681
288	0.5570932276
289	0.5568370069
290	0.5565231204
291	0.5562556483
292	0.5560209296
293	0.5557223886
294	0.5554624873
295	0.5552527676
296	0.5550500495
297	0.5548120834
298	0.5545011047
299	0.5542496446
300	0.5539482599
301	0.5537556013
302	0.5534900149
303	0.553141557
304	0.5528921849
305	0.5526796289
306	0.5524623373
307	0.5520805285
308	0.5518657474
309	0.5516356622
310	0.5513612456
311	0.5511694512
312	0.5509724618
313	0.550699893
314	0.5504622154
315	0.5502361186
316	0.5499997116
317	0.5497654634
318	0.5494145707
319	0.5491900289
320	0.5489305965
321	0.5487900205
322	0.5485815369
323	0.5483702595
324	0.5482150353
325	0.5480043694
326	0.5477292584
327	0.547433145
328	0.5471434937
329	0.546884131
330	0.5466711663
331	0.5462822012
332	0.5460565167
333	0.5457657158
334	0.5454934377
335	0.5452200221
336	0.5449246083
337	0.5446141362
338	0.5444476323
339	0.5440709495
340	0.543835354
341	0.5436217853
342	0.5433397795
343	0.5431010838
344	0.5429141953
345	0.5427177018
346	0.5425009907
347	0.5423431289
348	0.5418961142
349	0.541656858
350	0.5414224148
351	0.5410967686
352	0.5407561087
353	0.5405480576
354	0.5402303798
355	0.5400131106
356	0.539835117
357	0.5396078371
358	0.5394080288
359	0.5391023494
360	0.5388736341
361	0.5386393955
362	0.5383233213
363	0.5381373801
364	0.5379425712
365	0.5376380036
366	0.5372778642
367	0.537019385
368	0.5367161871
369	0.5364385245
370	0.5361836797
371	0.5359102922
372	0.5357118761
373	0.5355028844
374	0.5353031759
375	0.5349767257
376	0.5346955469
377	0.5344397009
378	0.5341696454
379	0.5338047184
380	0.5335316038
381	0.5333526632
382	0.5330278989
383	0.5327528297
384	0.5326240459
385	0.532480226
386	0.5321524316
387	0.5318903386
388	0.5315692208
389	0.5312486658
390	0.5310344296
391	0.5307519109
392	0.5305879115
393	0.530389667
394	0.5301831266
395	0.5298779238
396	0.5297226907
397	0.5293162378
398	0.5291032748
399	0.528841262
400	0.5285858086
401	0.5283756651
402	0.5280106281
403	0.5277680585
404	0.527540636
405	0.5272796433
406	0.5269803942
407	0.5267527541
408	0.5265322608
409	0.5263110379
410	0.5260169571
411	0.5257231338
412	0.5255591257
413	0.5253103292
414	0.5251584386
415	0.5250049901
416	0.5248117949
417	0.5245446933
418	0.5242899168
419	0.5240336068
420	0.5237934787
421	0.523581982
422	0.523440534
423	0.5231573027
424	0.5230060338
425	0.5227233683
426	0.5224353683
427	0.5223026225
428	0.5221188982
429	0.521858631
430	0.5215646487
431	0.5214175433
432	0.52116432
433	0.5210074009
434	0.5208081572
435	0.5205547968
436	0.5203219261
437	0.5201160315
438	0.5198387296
439	0.5195964551
440	0.5194251038
441	0.5192059968
442	0.5189668351
443	0.5187568779
444	0.5185443968
445	0.5183195245
446	0.5181429339
447	0.5179407471
448	0.5177685145
449	0.5176030002
450	0.5174068883
451	0.517247978
452	0.5170818736
453	0.5168616551
454	0.5166738129
455	0.5163898532
456	0.516052546
457	0.5157872921
458	0.5155931928
459	0.5154403657
460	0.5152814183
461	0.515103704
462	0.5148626947
463	0.5146468015
464	0.5144411914
465	0.5142993435
466	0.5140718488
467	0.51388457
468	0.5137667311
469	0.5135302117
470	0.5131650813
471	0.5129052961
472	0.5126792534
473	0.512455133
474	0.5122839263
475	0.5121142901
476	0.5118375443
477	0.511621457
478	0.5114411677
479	0.5112008272
480	0.5110256515
481	0.5107738
482	0.510574545
483	0.5104650738
484	0.5102228516
485	0.510008598
486	0.5097641384
487	0.5094717503
488	0.5092542509
489	0.5090928771
490	0.5089648979
491	0.5088160884
492	0.5086698553
493	0.5084789182
494	0.5082620178
495	0.5080587379
496	0.5077158
497	0.5075009744
498	0.5073560197
499	0.5071261831
500	0.5068974748
501	0.5066130293
502	0.5063953476
503	0.5061867811
504	0.5059694674
505	0.5057515167
506	0.5054872494
507	0.505284212
508	0.5050961729
509	0.504819839
510	0.5045542167
511	0.504408464
512	0.504162854
513	0.5040372514
514	0.503765015
515	0.5036045665
516	0.5034030833
517	0.5032318222
518	0.503041627
519	0.5029230987
520	0.5027133804
521	0.5024931619
522	0.5022264513
523	0.5021047593
524	0.5019075032
525	0.5016992742
526	0.5015587195
527	0.5012960823
528	0.5009735315
529	0.5007817738
530	0.5005954997
531	0.5003844823
532	0.5001955678
533	0.4999593576
534	0.4996524047
535	0.4994359705
536	0.4992575702
537	0.4991057818
538	0.4989827191
539	0.4988336046
540	0.4985743008
541	0.4983995686
542	0.4981958135
543	0.4980173935
544	0.4978275245
545	0.4977185282
546	0.4975706413
547	0.497410023
548	0.4971774871
549	0.4969527052
550	0.4967265515
551	0.4965781678
552	0.4963270348
553	0.49600867
554	0.4957191534
555	0.4955241495
556	0.4953347767
557	0.4951780142
558	0.4949358837
559	0.494729476
560	0.4945717517
561	0.4944100093
562	0.4942430243
563	0.4940879753
564	0.4938689533
565	0.4936467154
566	0.4934911294
567	0.4933072607
568	0.4930752149
569	0.4928436879
570	0.4925896635
571	0.4924192056
572	0.4922457563
573	0.4920706927
574	0.4919239717
575	0.4917024711
576	0.4914491867
577	0.4913023654
578	0.4911190063
579	0.4910145027
580	0.4908626741
581	0.4906169824
582	0.4904430784
583	0.4902776798
584	0.4901133294
585	0.4899713803
586	0.4898080499
587	0.489629624
588	0.4894618751
589	0.4891746699
590	0.4889836561
591	0.4888603759
592	0.488656354
593	0.4884745805
594	0.4883063184
595	0.4880501915
596	0.4879004962
597	0.4877202561
598	0.487551993
599	0.4873851563
600	0.4872380265
601	0.487023262
602	0.4869143158
603	0.4866929002
604	0.4865087175
605	0.486381781
606	0.486173122
607	0.4859996205
608	0.4858041292
609	0.4855817768
610	0.4854501399
611	0.4852368705
612	0.4849645685
613	0.4847930361
614	0.4845937916
615	0.4844452697
616	0.4842426946
617	0.4840057157
618	0.4838026985
619	0.4835590284
620	0.4834025998
621	0.4832582805
622	0.4830544492
623	0.4828967532
624	0.4827115508
625	0.482513949
626	0.4823109492
627	0.4821427197
628	0.4819209096
629	0.4817734828
630	0.4816019207
631	0.4814875799
632	0.4812454153
633	0.4811036656
634	0.4808948075
635	0.480705057
636	0.4804546124
637	0.4802420063
638	0.4800261772
639	0.4798487843
640	0.4796876531
641	0.4795442759
642	0.4794190489
643	0.4792003964
644	0.479051619
645	0.4788897522
646	0.4786569372
647	0.4784990553
648	0.4782543486
649	0.4780074432
650	0.4779059024
651	0.4777588631
652	0.4776079463
653	0.4774740652
654	0.4773016691
655	0.477179334
656	0.4769682116
657	0.4767681768
658	0.4766290595
659	0.4764106725
660	0.4761457609
661	0.4760016763
662	0.4758660802
663	0.4757201527
664	0.4754884639
665	0.4752981444
666	0.4752154839
667	0.4750611048
668	0.4749190582
669	0.4747823767
670	0.474522129
671	0.4744296409
672	0.4742383841
673	0.4740298981
674	0.4738739386
675	0.4737298077
676	0.4735194439
677	0.4733266274
678	0.4731843044
679	0.4729981035
680	0.4727754775
681	0.4726097678
682	0.4724619059
683	0.4723164664
684	0.4721880819
685	0.47203507
686	0.4718364694
687	0.4716949587
688	0.4715146491
689	0.4713167139
690	0.4712143749
691	0.4711152862
692	0.4709798195
693	0.4708670225
694	0.4707124575
695	0.4705480596
696	0.4703775548
697	0.4701597171
698	0.469963041
699	0.4698235141
700	0.469711714
701	0.4695512551
702	0.469469541
703	0.4692876019
704	0.4691305148
705	0.4688646736
706	0.4686674239
707	0.4684968078
708	0.468234524
709	0.4679521199
710	0.4678230791
711	0.4676749302
712	0.4674982014
713	0.4673740341
714	0.467221496
715	0.4670486495
716	0.4669040898
717	0.4667860283
718	0.4665910971
719	0.4664529587
720	0.4661778659
721	0.4660363038
722	0.4659047837
723	0.465752478
724	0.4656331966
725	0.4655299011
726	0.4653940538
727	0.4652631474
728	0.465052956
729	0.4649121326
730	0.4647372658
731	0.4645958766
732	0.4645029468
733	0.4643254543
734	0.4641492445
735	0.4639788207
736	0.4638114752
737	0.4635785945
738	0.4634043098
739	0.4632232782
740	0.4630736545
741	0.4628902134
742	0.4627626871
743	0.4625773647
744	0.4624608941
745	0.4623306547
746	0.4621490926
747	0.4620055344
748	0.4618414545
749	0.461692092
750	0.4615133906
751	0.4613811609
752	0.461280472
753	0.4611500031
754	0.4609995169
755	0.4608904349
756	0.460729778
757	0.460515091
758	0.4604119343
759	0.4601893065
760	0.460067513
761	0.4599700509
762	0.4597654462
763	0.4596402557
764	0.4594910957
765	0.4593541824
766	0.4592390379
767	0.4590991478
768	0.4589251818
769	0.4587649488
770	0.4586113761
771	0.4585092741
772	0.4583870851
773	0.4581729387
774	0.457987306
775	0.4578440053
776	0.4576824165
777	0.4574628779
778	0.457246589
779	0.4571243785
780	0.4569390889
781	0.4567906774
782	0.4565736619
783	0.4563801672
784	0.4562184186
785	0.4561056267
786	0.4559963629
787	0.4558505562
788	0.455737228
789	0.4555724835
790	0.4553609096
791	0.4552618206
792	0.4549943498
793	0.4548833548
794	0.4547532965
795	0.4546150797
796	0.4545102034
797	0.4543274615
798	0.4541991029
799	0.4541030978
800	0.4539281379
801	0.4537838725
802	0.4535348997
803	0.453444467
804	0.4532580295
805	0.4530950639
806	0.452940195
807	0.452814511
808	0.4526597125
809	0.4525186418
810	0.4523700242
811	0.4522383711
812	0.4521459528
813	0.4519141724
814	0.4517778817
815	0.4515739362
816	0.4513835576
817	0.4512383908
818	0.4510458587
819	0.4508074069
820	0.4507012247
821	0.4506075146
822	0.4504079922
823	0.4503196114
824	0.4502056753
825	0.450026124
826	0.4499426615
827	0.4497591186
828	0.4496114009
829	0.4494467193
830	0.4493013747
831	0.449199297
832	0.4490144682
833	0.4489410697
834	0.4487972701
835	0.4486654592
836	0.448495688
837	0.4483491253
838	0.4481657554
839	0.4480520954
840	0.4479444535
841	0.4478036043
842	0.447633784
843	0.4474644032
844	0.4473086741
845	0.4471111725
846	0.4469510842
847	0.4468205837
848	0.4466640002
849	0.4465177848
850	0.4464139447
851	0.4462899136
852	0.4461759264
853	0.4460944395
854	0.4459195689
855	0.445795021
856	0.4456152284
857	0.4454573133
858	0.445295089
859	0.4451422602
860	0.445041624
861	0.444924043
862	0.4448232959
863	0.4447020871
864	0.444573364
865	0.4444172607
866	0.4442756556
867	0.4441385658
868	0.4439425094
869	0.4438574401
870	0.4436111488
871	0.4434912012
872	0.4433436402
873	0.4432307085
874	0.4431117096
875	0.442930297
876	0.4428142137
877	0.4426898029
878	0.4425822961
879	0.4424200556
880	0.4422146055
881	0.4420141543
882	0.441790105
883	0.4416632823
884	0.4415329938
885	0.4413672891
886	0.4412746884
887	0.4410973223
888	0.4409243547
889	0.4407857755
890	0.4406346326
891	0.4404791574
892	0.4403424796
893	0.4401885186
894	0.4400597618
895	0.4398484857
896	0.4397002185
897	0.4395928167
898	0.4394938404
899	0.4392804954
900	0.4391585927
901	0.439026861
902	0.4388255972
903	0.4386396063
904	0.4385129675
905	0.4384163754
906	0.4382104797
907	0.4380954475
908	0.4378726712
909	0.437750266
910	0.4375753702
911	0.4374716404
912	0.4373591051
913	0.4372132091
914	0.4370863033
915	0.4369360197
916	0.4368262624
917	0.4367256208
918	0.4366229394
919	0.436421505
920	0.4362151581
921	0.4360783961
922	0.4359675623
923	0.4358438726
924	0.435684734
925	0.4355767703
926	0.4354961092
927	0.4353252949
928	0.4352108817
929	0.4351025619
930	0.4349907865
931	0.4348551198
932	0.4346941072
933	0.4345538746
934	0.4344296438
935	0.4343242772
936	0.4342356233
937	0.4341048428
938	0.4339813847
939	0.4338703723
940	0.4337637122
941	0.4335393588
942	0.4332925965
943	0.4331755597
944	0.4330317545
945	0.4328541106
946	0.4327427733
947	0.4326592355
948	0.4325683668
949	0.4324305201
950	0.4322625231
951	0.432126762
952	0.432016214
953	0.4318503789
954	0.4317096389
955	0.4315391252
956	0.4313951206
957	0.4312772524
958	0.4311701236
959	0.4310693676
960	0.4308695842
961	0.4306961644
962	0.4305182257
963	0.4303475202
964	0.4302333691
965	0.4300837837
966	0.4299492179
967	0.4298233948
968	0.4297186641
969	0.4295656701
970	0.4294577813
971	0.4293755412
972	0.429253716
973	0.4291115171
974	0.429029035
975	0.4289225986
976	0.4287950167
977	0.4285737873
978	0.4284833983
979	0.4283571265
980	0.42818918
981	0.4280753303
982	0.4279433092
983	0.4277995025
984	0.4276853722
985	0.4275724577
986	0.4274330188
987	0.4273083062
988	0.4271897817
989	0.427059412
990	0.4269689969
991	0.4268779613
992	0.4268030965
993	0.4266621427
994	0.4265436054
995	0.4264214664
996	0.4263037663
997	0.4261816295
998	0.4260623687
999	0.425978411
